"Linux version 2.6.31-leapfrog (rdowling@rdowling-t400) (gcc version 4.1.1) #183 Wed Mar 23 09:59:45 PDT 2011",0.000000
"CPU: ARM926EJ-S [41069265] revision 5 (ARMv5TEJ), cr=00053177",0.000000
"CPU: VIVT data cache, VIVT instruction cache",0.000000
"Machine: ARM-LF1000",0.000000
"Memory policy: ECC disabled, Data cache writeback",0.000000
"On node 0 totalpages: 11776",0.000000
"free_area_init_node: node 0, pgdat c03c8354, node_mem_map c0409000",0.000000
"Normal zone: 92 pages used for memmap",0.000000
"Normal zone: 0 pages reserved",0.000000
"Normal zone: 11684 pages, LIFO batch:1",0.000000
"lf1000_oscvco_set.65 pll 0, not changed already set to 0x00DF2100",0.000000
"PLL0=393.218109 MHz   PLL1=144.000 MHz   Built 1 zonelists in Zone order, mobility grouping on.  Total pages: 11684",0.000000
"Kernel command line: init=/sbin/init console=ttyS0,115200 loglevel=2 mem=46M mlc_fb=0x82E00000,0x01200000 ram=0x80000000-0x83FFFFFF screen_module=ILI6480G2 root=/dev/mmcblk0p3 rootfstype=ext3 rootwait0.000000",0.000000
"PID hash table entries: 256 (order: 8, 1024 bytes)",0.000000
"Dentry cache hash table entries: 8192 (order: 3, 32768 bytes)",0.000000
"Inode-cache hash table entries: 4096 (order: 2, 16384 bytes)",0.000000
"Memory: 46MB = 46MB total",0.000000
"Memory: 42508KB available (3508K code, 390K data, 112K init, 0K highmem)",0.000000
"NR_IRQS:256",0.000000
"TIM0=  4.500 MHz   TIM1=  4.500 MHz   TIM2=  4.500 MHz   TIM3=  4.500 MHz   TIM4=  4.500 MHz   ",0.000000
"console [ttyS0] enabled",0.000000
"Calibrating delay loop (skipped) preset value.. 786.43 BogoMIPS (lpj=3932181)",0.000000
"Mount-cache hash table entries: 512",0.000000
"CPU: Testing write buffer coherency: ok",0.000000
"NET: Registered protocol family 16",0.020000
"bio: create slab <bio-0> at 0",0.060000
"usbcore: registered new interface driver usbfs",0.070000
"usbcore: registered new interface driver hub",0.070000
"usbcore: registered new device driver usb",0.070000
"NET: Registered protocol family 2",0.090000
"IP route cache hash table entries: 1024 (order: 0, 4096 bytes)",0.090000
"TCP established hash table entries: 2048 (order: 2, 16384 bytes)",0.090000
"TCP bind hash table entries: 2048 (order: 1, 8192 bytes)",0.090000
"TCP: Hash tables configured (established 2048 bind 2048)",0.090000
"TCP reno registered",0.090000
"NET: Registered protocol family 1",0.090000
"arch/arm/mach-lf1000/gpio_main.c.check_for_touchscreen:1350 found touchscreen",0.100000
"Reading Board ID =  0x0b",0.100000
"lf1000-dpc lf1000-dpc: screen: 480x272",0.100000
"fuse init (API version 7.12)",0.110000
"msgmni has been set to 83",0.110000
"alg: No test for stdrng (krng)",0.120000
